GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ai-proficient-url-shortener,com.example.shortener,UrlShortenerApplication,5,3,0,0,1,1,1,1,1,1
ai-proficient-url-shortener,com.example.shortener.observability,AnalyticsResult,0,15,0,0,0,3,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.observability,AliasType,0,15,0,0,0,3,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.observability,RedirectResult,0,21,0,0,0,4,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.observability,ShortenerMetrics,0,119,0,0,0,27,0,8,0,8
ai-proficient-url-shortener,com.example.shortener.api,RequestIdFilter,0,38,0,4,0,11,0,6,0,4
ai-proficient-url-shortener,com.example.shortener.api,UrlController,0,101,0,0,0,35,0,8,0,8
ai-proficient-url-shortener,com.example.shortener.api,CreateUrlRequest,0,12,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.api,UrlDetailsResponse,0,27,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.api,HomeController,115,6,8,0,24,3,8,1,4,1
ai-proficient-url-shortener,com.example.shortener.api,AnalyticsResponse,0,15,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.api,GlobalExceptionHandler,0,127,0,0,0,25,0,12,0,12
ai-proficient-url-shortener,com.example.shortener.api,CreateUrlResponse,0,21,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.application,CreateUrlCommand,0,12,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.application,UrlMappingWriter,0,12,0,0,0,4,0,2,0,2
ai-proficient-url-shortener,com.example.shortener.application,AnalyticsWriter,0,18,0,0,0,6,0,2,0,2
ai-proficient-url-shortener,com.example.shortener.application,AnalyticsView,0,15,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.application,UrlService,7,322,6,22,3,81,6,16,0,8
ai-proficient-url-shortener,com.example.shortener.application,UrlDetails,0,27,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.application,CreateUrlResult,0,21,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.domain,InvalidRequestException,0,4,0,0,0,2,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.domain,NotFoundException,0,3,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.domain,UrlMapping,0,54,0,4,0,17,0,12,0,10
ai-proficient-url-shortener,com.example.shortener.domain,DuplicateAliasException,0,3,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.domain,ShortCodeGenerator,0,42,0,2,0,10,0,4,0,3
ai-proficient-url-shortener,com.example.shortener.domain,UrlPolicy,31,266,14,50,7,56,14,26,0,8
ai-proficient-url-shortener,com.example.shortener.domain,ExpiredException,0,3,0,0,0,1,0,1,0,1
ai-proficient-url-shortener,com.example.shortener.config,ApplicationConfig,0,5,0,0,0,2,0,2,0,2
ai-proficient-url-shortener,com.example.shortener.config,OpenApiConfig,0,29,0,0,0,7,0,2,0,2
